형태소,품사,가게이름,날짜,평점,카운트
못,VerbPrefix,라공방 대학로본점,2020.06.02.,5,1
못,VerbPrefix,라공방 대학로본점,2020.10.16.,1,1
못,VerbPrefix,라공방 대학로본점,2020.11.02.,5,1
못,VerbPrefix,라화쿵부 명동2호점,2019.05.25.,1,2
못,VerbPrefix,라화쿵부 명동점,2020.08.30.,2,1
못,VerbPrefix,목란,2020.01.01,1,1
못,VerbPrefix,복성각,2018.07.28.,3,2
못,VerbPrefix,봉자마라탕,2019.05.11.,1,2
못,VerbPrefix,봉자마라탕,2020.05.11.,3,1
못,VerbPrefix,불이아 본점,2020.01.01,3,1
못,VerbPrefix,산동주방,2019.05.03.,1,1
못,VerbPrefix,산왕반점 연남동본점,2020.01.01,4,1
못,VerbPrefix,상하이,2020.01.19.,1,1
못,VerbPrefix,손오공마라탕,2020.01.01,5,1
못,VerbPrefix,신룽푸마라탕,2020.11.13.,3,1
못,VerbPrefix,영화장,2020.01.01,1,1
못,VerbPrefix,중화복춘,2020.01.01,1,1
못,VerbPrefix,천유향마라향솥,2020.01.01,5,1
못,VerbPrefix,청화원,2020.07.20.,3,1
못,VerbPrefix,춘리마라탕,2020.04.14.,2,1
못,VerbPrefix,춘리마라탕,2020.06.18.,1,1
못,VerbPrefix,탕화쿵푸마라탕,2019.05.28.,1,1
못,VerbPrefix,탕화쿵푸마라탕,2020.02.17.,1,1
못,VerbPrefix,탕화쿵푸마라탕,2020.08.17.,1,1
못,VerbPrefix,하이디라오 강남점,2020.01.01,4,1
못,VerbPrefix,홍콩반점0410 대학로점,2020.04.15.,1,1
못,VerbPrefix,히노아지 명동점,2020.10.08.,1,1
못함,Noun,대가방 본점,2020.01.01,5,1
묘,Noun,자리,2020.01.01,1,1
묘,Noun,하하,2020.01.01,2,1
무,Noun,가담,2020.01.01,4,1
무,Noun,두만강샤브샤브 봉천점,2020.01.01,4,1
무,Noun,라화쿵부 명동점,2020.08.21.,1,1
무,Noun,중심,2020.05.12.,5,1
무,Noun,큐큐면관 삼성점,2020.11.10.,1,1
무,Noun,하이디라오 강남점,2020.01.01,4,2
무게,Noun,등비룡마라탕 종각점,2020.01.31.,1,1
무게,Noun,탕화쿵푸마라탕 화양점,2019.10.07.,1,1
무게,Noun,탕화쿵푸마라탕 화양점,2020.05.15.,3,2
무난,Noun,광화문짬뽕,2020.11.02.,4,1
무난,Noun,로향양꼬치,2020.01.01,3,1
무난,Noun,마담밍 선릉점,2020.01.01,4,1
무난,Noun,매화반점 1호점,2020.01.01,3,2
무난,Noun,산동교자,2018.01.27.,3,2
무난,Noun,열빈 광화문점,2019.06.19.,3,2
무난,Noun,이품,2020.01.01,4,1
무난,Noun,종로양꼬치,2020.10.13.,5,1
무난,Noun,쥬에,2020.01.01,3,1
무난,Noun,청화원,2020.07.20.,3,1
무난,Noun,춘리마라탕,2020.04.14.,2,2
무난,Noun,홍명,2020.01.01,4,1
무난,Noun,홍명,2020.01.01,5,1
무난,Noun,홍콩반점0410 종로관수점,2020.06.24.,3,1
무대뽀,Noun,채린중국요리,2020.01.01,1,1
무뚝뚝한,Adjective,송화양꼬치,2020.01.01,4,1
무려,Noun,라화쿵부 명동점,2020.01.01,1,1
무례해서,Adjective,목란,2020.01.01,1,1
무료,Noun,중경마라탕 강남역점,2020.01.01,4,1
무료,Noun,청화원,2020.06.23.,4,1
무료,Noun,탕화쿵푸마라탕 화양점,2020.02.09.,5,1
무맛,Noun,골드피쉬딤섬퀴진,2020.01.01,2,1
무서워서,Adjective,소리원,2020.01.01,1,1
무슨,Modifier,홍콩반점0410 대학로점,2019.10.25.,1,1
무슨,Noun,대한닭갈비,2019.12.30.,1,1
무슨,Noun,만보성,2019.07.21.,1,1
무슨,Noun,목란,2020.01.01,2,1
무슨,Noun,탕화쿵푸마라탕,2019.09.21.,1,1
무슨,Noun,탕화쿵푸마라탕,2020.05.20.,1,1
무엇,Noun,미엔아이 송파점,2020.01.01,3,1
무엇,Noun,신룽푸마라탕,2020.08.07.,2,1
무엇,Noun,홍명,2020.01.01,5,1
무엇,Noun,홍콩반점0410 대학로점,2020.02.04.,5,1
무조건,Noun,라공방 대학로본점,2019.11.21.,1,1
무조건,Noun,라공방 대학로본점,2019.12.12.,4,1
무조건,Noun,라화쿵부 명동2호점,2020.03.27.,1,1
무조건,Noun,정민,2020.01.01,5,2
무조건,Noun,종로양꼬치,2020.10.29.,1,1
무조건,Noun,중경마라탕 강남역점,2020.01.01,5,1
무조건,Noun,하이디라오 강남점,2020.01.01,4,1
무지무지,Adverb,란주탕슉,2016.03.16.,4,1
무침,Verb,봉자마라탕,2018.11.14.,5,1
무침,Verb,양식당더램키친,2020.01.01,4,1
무침은,Verb,봉자마라탕,2018.11.14.,5,1
무침은,Verb,양식당더램키친,2020.01.01,4,1
무한,Noun,히노아지 명동점,2020.01.01,5,1
무한리필,Noun,라공방 대학로본점,2019.09.29.,1,1
무한리필,Noun,복만루훠궈,2019.11.14.,5,1
묵었,Verb,쟈니덤플링 1호점,2020.01.01,5,1
묵었습니다,Verb,홍콩반점0410 대학로점,2020.02.04.,5,1
묵직한,Adjective,쟈니덤플링 1호점,2020.01.01,3,1
문,Modifier,라화쿵부 명동점,2020.06.29.,1,1
문,Noun,정육면체,2020.01.01,4,1
문,Noun,쮸즈,2020.01.01,3,2
문,Noun,홍콩반점0410 대학로점,2019.08.31.,1,1
문안,Noun,라공방 강남1호 본점,2020.01.01,2,1
문자,Noun,칠기마라탕,2020.01.01,4,1
문장,Noun,불이아 본점,2020.01.01,3,1
문전,Noun,완차이면가,2020.02.20.,5,1
문제,Noun,란주탕슉,2019.03.23.,2,1
문제,Noun,만보성,2019.07.21.,1,1
문제,Noun,봉자마라탕,2020.02.12.,1,1
문제,Noun,불이아 본점,2020.01.01,3,1
문제,Noun,챠이797 광화문점,2020.06.23.,5,1
문화,Noun,청화원,2020.10.20.,2,1
문화,Noun,탕화쿵푸마라탕,2019.06.17.,1,1
묻은,Verb,중화복춘,2020.01.01,1,1
묻지두,Verb,봉자마라탕,2020.05.11.,3,1
묻혀서,Verb,란주탕슉,2020.08.08.,5,1
묻힌,Verb,마담밍 선릉점,2020.01.01,1,1
물,Noun,구복만두,2020.01.01,4,1
물,Noun,로향양꼬치,2020.01.01,1,1
물,Noun,마담밍 선릉점,2020.01.01,1,1
물기,Noun,강서,2020.02.20.,2,1
물기,Noun,이품,2020.01.01,4,1
물러서,Verb,탕화쿵푸마라탕,2019.05.02.,2,1
물렸을,Verb,란주칼면,2020.01.01,4,1
물론,Adverb,불이아 본점,2020.01.01,3,1
물만두,Noun,봉자마라탕,2019.01.21.,2,2
물만두,Noun,산동교자,2016.07.19.,3,1
물만두,Noun,산동교자,2016.09.09.,4,1
물만두,Noun,산동교자,2018.01.27.,3,1
물만두,Noun,산동교자,2018.08.14.,4,1
물만두,Noun,산동교자,2020.05.18.,3,1
물만두,Noun,송화양꼬치,2020.01.01,5,1
물만두,Noun,쟈니덤플링 1호점,2020.01.01,3,1
물만두,Noun,한성양꼬치 종각점,2020.01.04.,1,1
물맛,Noun,춘리마라탕,2020.03.09.,2,1
물반,Noun,춘리마라탕,2020.03.09.,2,1
물씬,Noun,산동주방,2020.01.01,5,1
물어,Noun,자리,2020.01.01,1,1
물어보고,Verb,복성각,2018.07.28.,3,1
물어보니,Verb,신승관,2020.08.25.,1,1
물어보니,Verb,청화원,2019.12.25.,1,1
물어보니,Verb,홍명,2020.01.01,5,1
물어보면,Verb,산동교자,2019.05.06.,1,1
물어본것도,Verb,소리원,2020.01.01,1,1
물어봐도,Verb,복성각,2019.12.17.,1,1
물어봐도,Verb,산동주방,2019.05.03.,1,1
물어봐주는,Verb,신룽푸마라탕,2020.05.29.,5,1
물어봤는데,Verb,만보성,2019.07.21.,1,1
물어봤는데,Verb,소리원,2020.01.01,1,1
물어봤는데,Verb,청화원,2019.12.25.,1,1
물었더니,Verb,한성양꼬치 종각점,2020.01.04.,1,1
물이,Noun,홍콩반점0410 대학로점,2019.04.12.,1,1
물컵,Noun,로향양꼬치,2020.01.01,1,3
물탄,Noun,복성각,2019.12.17.,1,1
물티슈,Noun,란주탕슉,2020.08.08.,5,1
물티슈,Noun,홍콩반점0410 대학로점,2020.09.27.,1,1
묽어지고,Adjective,미엔아이 송파점,2020.01.01,3,1
뭉쳐있고,Verb,홍콩반점0410 대학로점,2020.07.21.,1,1
뭉텅뭉텅,Noun,대가방 본점,2020.01.01,1,1
뭐,Noun,등비룡마라탕 종각점,2020.07.03.,1,1
뭐,Noun,란주탕슉,2016.10.27.,1,1
뭐,Noun,마라고메 방이점,2020.01.01,1,1
뭐,Noun,마포마라탕,2020.06.08.,1,1
뭐,Noun,목란,2020.01.01,1,1
뭐,Noun,미가양고기,2020.01.01,1,1
뭐,Noun,벽돌해피푸드 압구정점,2020.01.01,4,1
뭐,Noun,복성각,2019.08.04.,1,1
뭐,Noun,산동교자,2020.02.02.,2,1
뭐,Noun,야상해,2020.01.01,4,1
뭐,Noun,열빈 광화문점,2019.08.01.,1,1
뭐,Noun,완차이면가,2020.08.13.,1,1
뭐,Noun,챠이797 광화문점,2020.06.23.,5,1
뭐,Noun,춘리마라탕,2020.03.09.,2,1
뭐,Noun,큐큐면관 회기점,2020.01.22.,5,1
뭐,Noun,탕화쿵푸마라탕 동대문점,2019.09.23.,1,1
뭐,Noun,팔레드신,2020.01.01,1,1
뭐,Noun,헤이 요우지아씨아오마오차이 한국1호점,2020.01.01,1,1
뭐,Noun,홍명,2020.01.01,5,1
뭐,Noun,히노아지 명동점,2019.04.18.,1,1
뭐라,Verb,봉자마라탕,2020.07.31.,5,1
뭐라,Verb,영화장,2020.01.01,1,1
뭐라,Verb,탕화쿵푸마라탕,2019.05.28.,1,1
뭔,Modifier,복성각,2020.01.02.,1,1
뭔가,Noun,라화쿵부 명동점,2020.08.30.,2,1
뭔가,Noun,란주탕슉,2018.09.11.,3,1
뭔가,Noun,손오공마라탕,2020.01.01,2,1
뭔가,Noun,차이나당,2020.01.01,2,1
뭔가,Noun,팔레드신,2020.01.01,1,1
뭔가,Noun,헤이 요우지아씨아오마오차이 한국1호점,2020.01.01,5,1
뭔가,Noun,홍명,2020.01.01,5,1
뭘,Noun,라화쿵부 명동점,2018.10.22.,1,1
뭘,Noun,산동주방,2020.01.01,4,1
믄,Modifier,만보성,2019.07.21.,1,1
믜칭럼임,Noun,야상해,2020.01.01,5,1
미가,Noun,봉자마라탕,2019.01.21.,2,1
미국,Noun,쟈니덤플링 1호점,2020.01.01,3,1
미리,Noun,대한닭갈비,2019.12.30.,1,2
미리,Noun,만보성,2019.07.11.,1,1
미리,Noun,복성각,2019.08.11.,2,1
미리,Noun,복성각,2020.01.01,1,1
미리,Noun,신승관,2020.08.25.,1,1
미묘함,Adjective,손오공마라탕,2020.01.01,2,1
미소라멘,Noun,히노아지 명동점,2020.01.01,5,1
미쉐린,Noun,구복만두,2020.01.01,1,1
미슐랭,Noun,쥬에,2020.01.01,1,1
미스,Noun,맛이차이나,2020.01.01,4,1
미안하다는,Adjective,청화원,2020.01.11.,1,1
미안하단,Adjective,봉자마라탕,2020.02.12.,1,1
미안한,Adjective,란주탕슉,2019.08.11.,1,1
미안한,Adjective,청화원,2020.08.12.,1,1
미어,Adjective,대한닭갈비,2019.12.30.,1,1
미지근한,Adjective,복성각,2019.11.09.,1,1
미지근한,Adjective,팔레드신,2020.01.01,1,1
미지근함,Adjective,복성각,2019.11.09.,1,1
미지근했어요,Adjective,대가방 본점,2020.01.01,1,1
미착,Noun,소리원,2020.01.01,3,1
미착,Noun,탕화쿵푸마라탕 화양점,2020.09.09.,3,1
미쳤네요,Adjective,청화원,2020.07.20.,3,1
미치겠다는,Adjective,라화쿵부 명동2호점,2019.04.17.,1,1
미친,Adjective,인량 훠궈,2020.01.01,1,1
미친,Adjective,하이디라오 강남점,2020.01.01,4,1
미친듯,Adjective,공푸,2020.01.01,5,1
미터,Noun,라화쿵부 명동점,2019.12.02.,1,1
민망했음,Adjective,정육면체,2020.01.01,1,1
믿,Verb,정육면체,2020.01.01,1,1
믿고,Verb,라화쿵부 명동점,2018.10.22.,1,1
믿고,Verb,인량 훠궈,2020.01.01,1,1
믿고,Verb,홍콩반점0410 대학로점,2020.07.21.,1,1
믿기,Verb,팔레드신,2020.01.01,2,1
믿음,Noun,청화원,2019.11.26.,5,1
믿지,Verb,인량 훠궈,2020.01.01,1,1
밀,Noun,불이아 본점,2020.01.01,3,1
밀가루,Noun,란주탕슉,2020.09.22.,5,1
밀가루,Noun,정육면체,2020.01.01,1,1
밀도,Noun,불이아 본점,2020.01.01,3,1
밀리기,Verb,만보성,2019.07.11.,1,1
밋밋하면,Adjective,불이아 본점,2020.01.01,3,1
밋밋함을,Adjective,불이아 본점,2020.01.01,3,1
밋밋해지는,Adjective,불이아 본점,2020.01.01,3,1
밍밍,Noun,라공방 대학로본점,2019.12.06.,1,1
밍밍,Noun,라공방 대학로본점,2019.12.12.,4,1
밍밍,Noun,라공방 대학로본점,2020.01.16.,1,1
밍밍,Noun,라화쿵부 명동점,2020.08.30.,2,1
밍밍,Noun,마라고메 방이점,2020.01.01,1,1
밍밍,Noun,복성각,2019.12.17.,1,2
밍밍,Noun,산왕반점 연남동본점,2020.01.01,2,1
밍밍,Noun,손오공마라탕,2020.01.01,5,1
밍밍,Noun,중경마라탕 강남역점,2020.01.01,4,1
및,Noun,신룽푸마라탕,2019.01.19.,2,1
및,Noun,훠궈야 판교아브뉴프랑점,2020.01.01,1,1
밑,Noun,라공방 대학로본점,2019.12.12.,4,1
밑,Noun,산동교자,2019.05.06.,1,1
밑,Noun,정민,2020.01.01,3,1
밑,Noun,종로양꼬치,2019.07.10.,4,1
밑,Noun,팔레드신,2020.01.01,1,1
밑반찬,Noun,양식당더램키친,2020.01.01,4,1
밑반찬,Noun,양식당더램키친,2020.01.01,5,1
바,Noun,김사부샤브샤브,2020.01.01,5,1
바,Noun,두만강샤브샤브 봉천점,2020.01.01,4,1
바,Noun,등비룡마라탕 종각점,2020.06.22.,1,1
바,Noun,라공방 강남1호 본점,2020.01.01,2,1
바,Noun,라공방 대학로본점,2019.11.21.,1,1
바,Noun,라공방 대학로본점,2019.12.10.,1,1
바,Noun,라공방 대학로본점,2019.12.12.,4,2
바,Noun,라공방 대학로본점,2020.01.10.,1,1
바,Noun,라공방 대학로본점,2020.02.12.,1,1
바,Noun,라공방 대학로본점,2020.06.02.,5,1
바,Noun,라공방 대학로본점,2020.11.02.,5,1
바,Noun,라화쿵부 명동점,2020.08.30.,2,1
바,Noun,락희안 명지대본점,2020.01.01,3,2
바,Noun,란주칼면,2020.01.01,4,2
바,Noun,란주탕슉,2016.10.27.,1,2
바,Noun,란주탕슉,2018.07.13.,2,1
바,Noun,란주탕슉,2018.08.11.,3,1
바,Noun,란주탕슉,2018.08.21.,4,1
바,Noun,란주탕슉,2018.09.21.,2,1
바,Noun,란주탕슉,2018.12.02.,3,1
바,Noun,란주탕슉,2018.12.20.,1,2
바,Noun,란주탕슉,2019.03.23.,2,1
바,Noun,란주탕슉,2019.09.03.,2,1
바,Noun,란주탕슉,2019.09.08.,1,1
바,Noun,란주탕슉,2020.04.21.,1,2
바,Noun,란주탕슉,2020.08.01.,5,1
바,Noun,란주탕슉,2020.08.08.,5,1
바,Noun,란주탕슉,2020.08.16.,5,1
바,Noun,란주탕슉,2020.10.07.,4,1
바,Noun,란주탕슉,2020.11.12.,5,1
바,Noun,미엔아이 송파점,2020.01.01,5,1
바,Noun,바오바,2020.01.01,5,1
바,Noun,상하이,2019.09.05.,5,1
바,Noun,상하이,2020.01.10.,5,1
바,Noun,상하이,2020.01.19.,1,1
바,Noun,상하이,2020.05.22.,5,1
바,Noun,손오공마라탕,2020.01.01,5,1
바,Noun,신룽푸마라탕,2020.05.24.,1,1
바,Noun,신룽푸마라탕,2020.06.24.,5,1
바,Noun,애정마라샹궈 본점,2020.01.01,3,1
바,Noun,열빈 광화문점,2020.01.01,5,1
바,Noun,종로양꼬치,2020.10.13.,5,1
바,Noun,주,2020.01.01,2,1
바,Noun,차이나당,2020.01.01,1,1
바,Noun,청화원,2019.12.25.,1,1
바,Noun,청화원,2019.12.27.,4,1
바,Noun,촨커,2020.01.01,3,1
바,Noun,촨커,2020.01.01,4,2
바,Noun,춘리마라탕,2019.10.21.,5,1
바,Noun,칠기마라탕,2020.01.01,2,1
바,Noun,칠기마라탕,2020.01.01,4,2
바,Noun,칠기마라탕,2020.01.01,5,2
바,Noun,훠궈야 판교아브뉴프랑점,2020.01.01,1,1
바구니,Noun,탕화쿵푸마라탕 화양점,2020.02.09.,5,1
바구니,Noun,탕화쿵푸마라탕 화양점,2020.05.15.,3,1
바꾸신,Verb,란주탕슉,2020.11.12.,5,1
바꿔,Verb,가담,2020.01.01,3,1
바꿔야,Verb,백객도,2020.01.01,3,1
바뀌,Verb,미엔아이 송파점,2020.01.01,3,1
바뀌어,Verb,차이나당,2020.01.01,2,1
바뀐,Verb,열빈 광화문점,2019.08.01.,1,1
바뀐듯,Verb,청화원,2020.07.05.,5,1
바뀐지,Verb,차이나당,2020.01.01,1,1
바뀜,Verb,차이나당,2020.01.01,1,1
바나나,Noun,마담밍 선릉점,2020.01.01,5,1
바다,Noun,소리원,2020.01.01,1,1
바닥,Noun,라화쿵부 명동점,2018.10.22.,1,1
바닥,Noun,라화쿵부 명동점,2019.12.02.,1,1
바닥,Noun,탕화쿵푸마라탕,2020.08.18.,1,1
바닷물,Noun,홍콩반점0410 대학로점,2020.04.15.,1,1
바라긴,Verb,중경마라탕 강남역점,2020.01.01,5,1
바라지,Noun,라화쿵부 명동2호점,2019.04.17.,1,1
바란다,Verb,손오공마라탕,2020.01.01,5,1
바랍니디,Verb,팔레드신,2020.01.01,1,1
바로,Noun,등비룡마라탕 종각점,2020.10.24.,4,1
바로,Noun,라공방 대학로본점,2019.09.07.,3,1
바로,Noun,라공방 대학로본점,2019.11.20.,3,2
바로,Noun,라공방 대학로본점,2020.04.13.,4,1
바로,Noun,라화쿵부 명동점,2020.07.30.,1,1
바로,Noun,락희안 명지대본점,2020.01.01,3,1
바로,Noun,란주탕슉,2018.05.21.,2,1
바로,Noun,란주탕슉,2018.07.13.,2,1
바로,Noun,란주탕슉,2019.05.23.,1,1
바로,Noun,란주탕슉,2019.08.29.,3,1
바로,Noun,란주탕슉,2019.09.03.,2,1
바로,Noun,란주탕슉,2019.09.08.,1,1
바로,Noun,란주탕슉,2019.12.28.,1,1
바로,Noun,란주탕슉,2020.07.09.,2,1
바로,Noun,란주탕슉,2020.08.16.,5,1
바로,Noun,란주탕슉,2020.11.12.,5,1
바로,Noun,로향양꼬치,2020.01.01,1,1
바로,Noun,리춘시장 대학로CGV점,2020.07.06.,1,1
바로,Noun,마라고메 방이점,2020.01.01,5,1
바로,Noun,미엔아이 송파점,2020.01.01,3,1
바로,Noun,복성각,2020.02.08.,1,1
바로,Noun,손오공마라탕,2020.01.01,5,1
바로,Noun,송화양꼬치,2020.01.01,4,1
바로,Noun,애정마라샹궈 본점,2020.01.01,2,1
바로,Noun,애정마라샹궈 본점,2020.01.01,4,1
바로,Noun,중경마라탕 강남역점,2020.01.01,4,1
바로,Noun,중경마라탕 강남역점,2020.01.01,5,2
바로,Noun,청화원,2020.10.20.,2,1
바로,Noun,촨커,2020.01.01,5,1
바로,Noun,춘리마라탕,2020.03.09.,2,1
바로,Noun,칠기마라탕,2020.01.01,5,1
바로,Noun,탕화쿵푸마라탕,2019.07.30.,3,1
바로,Noun,탕화쿵푸마라탕,2020.05.20.,1,1
바빠도,Adjective,미엔아이 송파점,2020.01.01,5,1
바빠서,Adjective,산동교자,2019.05.06.,1,1
바쁘면,Adjective,산동교자,2018.01.03.,1,1
바쁘시다,Adjective,라화쿵부 명동점,2019.03.23.,3,1
바쁘지도,Adjective,복성각,2018.07.28.,3,1
바쁜,Adjective,챠이797 광화문점,2020.06.23.,5,1
바쁜,Adjective,탕화쿵푸마라탕,2020.01.19.,2,1
바쁠,Adjective,두만강샤브샤브 봉천점,2020.01.01,4,1
바쁠텐데,Adjective,골드피쉬딤섬퀴진,2020.01.01,4,1
바삭,Noun,가담,2020.01.01,1,1
바삭,Noun,대가방 본점,2020.01.01,1,1
바삭,Noun,두만강샤브샤브 봉천점,2020.01.01,3,1
바삭,Noun,라공방 대학로본점,2020.06.02.,5,1
바삭,Noun,란주탕슉,2019.05.23.,1,2
바삭,Noun,란주탕슉,2019.06.10.,1,1
바삭,Noun,중경마라탕 강남역점,2020.01.01,4,1
바삭,Noun,챠이797 광화문점,2020.07.10.,3,1
바삭,Noun,촨커,2020.01.01,4,1
바삭,Noun,홍콩반점0410 대학로점,2019.06.05.,1,1
바삭바삭,Adverb,란주탕슉,2018.08.21.,4,1
바오,Noun,김사부샤브샤브,2020.01.01,4,1
바오,Noun,바오바,2020.01.01,5,2
바오,Noun,큐큐면관 회기점,2018.12.04.,5,1
바지,Noun,탕화쿵푸마라탕 화양점,2020.09.09.,3,1
바퀴벌레,Noun,란주탕슉,2020.09.27.,3,1
바퀴벌레,Noun,탕화쿵푸마라탕,2020.08.18.,1,2
바퀴벌레,Noun,탕화쿵푸마라탕,2020.09.13.,1,1
바퀴벌레,Noun,탕화쿵푸마라탕,2020.10.15.,1,1
박물관,Noun,상하이,2020.10.09.,5,1
박박,Adverb,라화쿵부 명동점,2018.10.22.,1,1
밖,Noun,란주탕슉,2018.11.12.,1,1
밖,Noun,큐큐면관 회기점,2020.11.03.,1,1
밖,Noun,헤이 요우지아씨아오마오차이 한국1호점,2020.01.01,3,1
밖에,Josa,복만루훠궈,2020.05.22.,5,1
밖에,Josa,신룽푸마라탕,2020.05.24.,1,1
밖에,Josa,정육면체,2020.01.01,4,1
밖에,Josa,종로양꼬치,2019.07.10.,4,1
밖에,Josa,쥬에,2020.01.01,1,1
밖에,Josa,탕화쿵푸마라탕,2019.05.02.,2,1
밖에,Josa,피슈마라홍탕 상암점,2020.01.01,5,1
반,Modifier,채린중국요리,2020.01.01,1,1
반,Modifier,탕화쿵푸마라탕 화양점,2020.09.09.,3,1
반,Noun,미가양고기,2020.01.01,1,1
반,Noun,청화원,2019.11.26.,5,2
반,Noun,칠기마라탕,2020.01.01,4,1
반,Noun,탕화쿵푸마라탕,2020.05.20.,1,1
반,Noun,히노아지 명동점,2020.10.08.,1,1
반년,Noun,라공방 대학로본점,2020.06.02.,5,1
반대,Noun,불이아 본점,2020.01.01,3,1
반도,Noun,산동주방,2018.11.24.,1,1
반드시,Noun,대한닭갈비,2019.12.30.,1,1
반드시,Noun,탕화쿵푸마라탕 화양점,2019.10.07.,1,1
반말,Noun,홍콩반점0410 종로관수점,2020.06.04.,1,1
반바지,Noun,한성양꼬치 종각점,2020.01.04.,1,1
반복,Noun,라화쿵부 명동점,2018.10.22.,1,1
반복,Noun,산동교자,2019.05.06.,1,1
반점,Noun,매화반점 1호점,2020.01.01,3,1
반점,Noun,산왕반점 연남동본점,2020.01.01,5,1
반점,Noun,영화장,2020.01.01,1,1
반점,Noun,홍콩반점0410 대학로점,2016.10.23.,1,2
반점,Noun,홍콩반점0410 대학로점,2020.04.29.,5,1
반점,Noun,홍콩반점0410 대학로점,2020.11.16.,2,1
반죽,Noun,라화쿵부 명동점,2020.07.30.,1,1
반죽,Noun,란주탕슉,2020.09.22.,5,1
반찬,Noun,일일향 광화문점,2020.04.14.,3,1
반함,Noun,산왕반점 연남동본점,2020.01.01,5,1
반했구요,Adjective,피슈마라홍탕 상암점,2020.01.01,5,1
반했어,Noun,피슈마라홍탕 상암점,2020.01.01,5,1
받게,Verb,불이아 본점,2020.01.01,3,1
받고,Verb,라공방 대학로본점,2020.02.12.,1,1
받고,Verb,라공방 대학로본점,2020.04.13.,4,1
받네요,Verb,챠이797 광화문점,2020.05.07.,1,1
받는,Verb,라공방 대학로본점,2019.09.29.,1,1
받는,Verb,라화쿵부 명동점,2019.12.03.,1,1
받는,Verb,자리,2020.01.01,1,1
받는건,Verb,마라고메 방이점,2020.01.01,1,1
받는다는데,Verb,탕화쿵푸마라탕 화양점,2020.02.09.,5,1
받는다면,Verb,홍명,2020.01.01,5,1
받는듯,Verb,탕화쿵푸마라탕,2019.05.01.,4,1
받아,Verb,라공방 대학로본점,2020.04.13.,4,1
받아들인거겠지,Verb,란주탕슉,2020.04.21.,1,1
받아서,Verb,산동주방,2020.01.01,5,1
받으러,Verb,복성각,2019.12.17.,1,1
받으려고,Verb,라화쿵부 명동점,2019.12.03.,1,1
받으며,Verb,란주탕슉,2019.02.12.,1,1
받으면서,Verb,두만강샤브샤브 봉천점,2020.01.01,1,1
받으면서,Verb,쥬에,2020.01.01,2,1
받으세요,Verb,라화쿵부 명동2호점,2019.05.25.,1,1
받은,Verb,춘리마라탕,2020.04.14.,2,1
받을,Verb,포가,2020.01.01,2,1
받음,Verb,등비룡마라탕 종각점,2020.06.02.,1,1
받음,Verb,벽돌해피푸드 압구정점,2020.01.01,5,1
받음,Verb,탕화쿵푸마라탕 화양점,2019.10.07.,1,1
받지,Verb,봉자마라탕,2020.09.30.,1,1
받지를,Verb,미가양고기,2020.01.01,1,1
받질말지,Verb,챠이797 광화문점,2020.05.07.,1,1
발,Noun,라화쿵부 명동점,2019.12.03.,1,1
발견,Noun,상하이,2020.11.11.,1,1
발견,Noun,히노아지 명동점,2020.01.01,5,1
발길,Noun,탕화쿵푸마라탕,2020.02.17.,1,1
발끈,Noun,정민,2020.01.01,3,1
발렛,Noun,몽중헌 방이점,2020.01.01,5,1
발렛비,Noun,쥬에,2020.01.01,2,1
발린,Verb,중화복춘,2020.01.01,1,1
발원,Noun,영화장,2020.01.01,1,1
발전,Noun,팔레드신,2020.01.01,1,1
밤새,Noun,중림 양갈비양꼬치,2020.08.01.,4,1
밥,Noun,공푸,2020.01.01,5,1
밥,Noun,광화문짬뽕,2020.11.02.,4,2
밥,Noun,김사부샤브샤브,2020.01.01,4,1
밥,Noun,대가방 본점,2020.01.01,1,1
밥,Noun,두만강샤브샤브 봉천점,2020.01.01,3,1
밥,Noun,등비룡마라탕 종각점,2020.07.08.,5,1
밥,Noun,라공방 대학로본점,2019.08.02.,1,1
밥,Noun,라공방 대학로본점,2019.09.29.,1,2
밥,Noun,라공방 대학로본점,2020.01.16.,1,1
밥,Noun,라화쿵부 명동2호점,2019.09.14.,1,1
밥,Noun,라화쿵부 명동점,2020.01.07.,4,1
밥,Noun,란주탕슉,2019.12.28.,1,1
밥,Noun,마담밍 선릉점,2020.01.01,5,1
밥,Noun,복성각,2019.07.27.,1,1
밥,Noun,복성각,2020.01.02.,1,1
밥,Noun,봉자마라탕,2019.03.13.,5,1
밥,Noun,산동주방,2018.11.24.,1,1
밥,Noun,산동주방,2020.01.01,4,1
밥,Noun,신승관,2020.08.25.,1,1
밥,Noun,쌍용각,2020.01.01,2,1
밥,Noun,애정마라샹궈 본점,2020.01.01,2,1
밥,Noun,열빈 광화문점,2019.06.19.,3,1
밥,Noun,열빈 광화문점,2019.08.28.,5,1
밥,Noun,열빈 광화문점,2020.01.01,5,1
밥,Noun,이품,2020.01.01,4,1
밥,Noun,자리,2020.01.01,1,4
밥,Noun,정민,2020.01.01,5,1
밥,Noun,중경마라탕 강남역점,2020.01.01,4,2
밥,Noun,중심,2020.05.21.,5,1
밥,Noun,챠이797 광화문점,2020.05.12.,2,1
밥,Noun,챠이797 광화문점,2020.06.22.,1,1
밥,Noun,청화원,2019.12.04.,5,1
밥,Noun,청화원,2020.01.06.,1,1
밥,Noun,청화원,2020.06.23.,4,2
밥,Noun,청화원,2020.07.20.,3,1
밥,Noun,청화원,2020.08.07.,2,1
밥,Noun,촨커,2020.01.01,5,1
