형태소,품사,가게이름,날짜,평점,카운트
",",Punctuation,종로양꼬치,2019.06.18.,4,2
",",Punctuation,종로양꼬치,2020.10.29.,1,3
",",Punctuation,중경마라탕 강남역점,2020.01.01,4,1
",",Punctuation,중경마라탕 강남역점,2020.01.01,5,2
",",Punctuation,중심,2020.09.30.,5,4
",",Punctuation,쥬에,2020.01.01,1,1
",",Punctuation,차이나당,2020.01.01,1,2
",",Punctuation,채린중국요리,2020.01.01,4,3
",",Punctuation,챠이797 광화문점,2020.06.23.,5,1
",",Punctuation,천유향마라향솥,2020.01.01,5,1
",",Punctuation,천진영감,2020.01.01,5,1
",",Punctuation,춘리마라탕,2019.09.25.,4,1
",",Punctuation,춘리마라탕,2020.04.14.,2,1
",",Punctuation,큐큐면관 삼성점,2020.05.05.,4,1
",",Punctuation,큐큐면관 회기점,2020.06.13.,2,2
",",Punctuation,탕화쿵푸마라탕,2019.05.01.,4,1
",",Punctuation,탕화쿵푸마라탕,2019.05.28.,1,2
",",Punctuation,탕화쿵푸마라탕,2019.09.21.,1,1
",",Punctuation,탕화쿵푸마라탕,2020.05.20.,1,1
",",Punctuation,탕화쿵푸마라탕 동대문점,2019.05.31.,1,2
",",Punctuation,탕화쿵푸마라탕 동대문점,2019.09.23.,1,1
",",Punctuation,탕화쿵푸마라탕 화양점,2020.09.25.,5,4
",",Punctuation,팔레드신,2020.01.01,2,1
",",Punctuation,팔레드신,2020.01.01,5,2
",",Punctuation,피슈마라홍탕 상암점,2020.01.01,5,2
",",Punctuation,하이디라오 강남점,2020.01.01,4,1
",",Punctuation,한성양꼬치 종각점,2020.09.17.,5,1
",",Punctuation,홍명,2020.01.01,5,5
",",Punctuation,홍콩반점0410 대학로점,2020.11.16.,2,6
",",Punctuation,홍콩반점0410 종로관수점,2020.06.02.,5,1
",",Punctuation,홍콩반점0410 종로관수점,2020.06.24.,3,1
",",Punctuation,화양연가,2020.01.01,1,1
",",Punctuation,화양연가,2020.01.01,4,1
",",Punctuation,훠궈야 판교아브뉴프랑점,2020.01.01,1,1
",",Punctuation,훠궈야 판교아브뉴프랑점,2020.01.01,5,1
",",Punctuation,히노아지 명동점,2018.03.28.,4,1
",",Punctuation,히노아지 명동점,2020.01.01,5,2
",",Punctuation,히노아지 명동점,2020.10.08.,1,2
",",Punctuation,히노아지 명동점,2020.10.28.,4,1
",,",Punctuation,동영관,2019.08.01.,4,2
",,",Punctuation,라화쿵부 명동점,2020.06.29.,1,1
